[0809/231026.118:INFO:CONSOLE(0)] "Use of the Application Cache is deprecated on insecure origins. Support will be removed in the future. You should consider switching your application to a secure origin, such as HTTPS. See https://goo.gl/rStTGz for more details.", source:  (0)
[0809/231026.122:INFO:CONSOLE(0)] "Creating Application Cache with manifest http://aria2c.com/offline.appcache", source: http://aria2c.com/ (0)
[0809/231026.123:INFO:CONSOLE(0)] "Application Cache Checking event", source: http://aria2c.com/ (0)
[0809/231027.662:INFO:CONSOLE(0)] "Application Cache Downloading event", source: http://aria2c.com/ (0)
[0809/231028.519:INFO:CONSOLE(0)] "Application Cache Progress event (0 of 16) http://aria2c.com/js/bootstrap.min.js", source: http://aria2c.com/ (0)
[0809/231028.952:INFO:CONSOLE(0)] "Application Cache Progress event (1 of 16) http://aria2c.com/favicon.ico", source: http://aria2c.com/ (0)
[0809/231029.389:INFO:CONSOLE(0)] "Application Cache Progress event (2 of 16) http://aria2c.com/js/jquery.Storage.min.js", source: http://aria2c.com/ (0)
[0809/231030.841:INFO:CONSOLE(0)] "Application Cache Progress event (3 of 16) http://aria2c.com/index.html", source: http://aria2c.com/ (0)
[0809/231031.375:INFO:CONSOLE(0)] "Application Cache Progress event (4 of 16) http://aria2c.com/css/bootstrap-responsive.min.css", source: http://aria2c.com/ (0)
[0809/231032.358:INFO:CONSOLE(0)] "Application Cache Progress event (5 of 16) http://aria2c.com/css/bootstrap.min.css", source: http://aria2c.com/ (0)
[0825/163938.700:INFO:CONSOLE(0)] "Use of the Application Cache is deprecated on insecure origins. Support will be removed in the future. You should consider switching your application to a secure origin, such as HTTPS. See https://goo.gl/rStTGz for more details.", source:  (0)
[0825/163938.731:INFO:CONSOLE(0)] "Creating Application Cache with manifest http://aria2.b2cn.tk/index.manifest", source: http://aria2.b2cn.tk/?i=1 (0)
[0825/163938.733:INFO:CONSOLE(0)] "Application Cache Checking event", source: http://aria2.b2cn.tk/?i=1 (0)
[0825/163939.118:INFO:CONSOLE(0)] "Application Cache Downloading event", source: http://aria2.b2cn.tk/?i=1 (0)
[0825/163940.323:INFO:CONSOLE(0)] "Application Cache Progress event (0 of 12) http://aria2.b2cn.tk/js/moment-with-locales-2.22.2.min.js", source: http://aria2.b2cn.tk/?i=1 (0)
[0825/163940.817:INFO:CONSOLE(0)] "Application Cache Progress event (1 of 12) http://aria2.b2cn.tk/index.html", source: http://aria2.b2cn.tk/?i=1 (0)
[0825/163940.820:INFO:CONSOLE(0)] "Application Cache Progress event (2 of 12) http://aria2.b2cn.tk/css/aria-ng-b3babb8b37.min.css", source: http://aria2.b2cn.tk/?i=1 (0)
[0825/163940.822:INFO:CONSOLE(0)] "Application Cache Progress event (3 of 12) http://aria2.b2cn.tk/js/bootstrap-3.3.7.min.js", source: http://aria2.b2cn.tk/?i=1 (0)
